itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_implantation_debut,semaine_implantation_fin,semaine_recolte,semaine_recolte_fin,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,implantation,forcage,zone_climat,contexte_climatique,statut_validation,actif,source_reference,source_url,source_record_id,source_version,source_licence,derniere_revision,commentaire_agronome,notes
Tamarinier — antilles,Tamarinier,Fabaceae,Tamarindus indica,,,25,,,8,,10,,1460,,1100,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Arbre rustique très tolérant à la sécheresse, adapté aux zones sèches sous le vent (Grande-Terre, sud Martinique). Récolte des gousses mûres en plein carême (février-avril, S6-17). Croissance lente. Plantation début hive"
Tomate-automne-tardive,Tomate,Solanaceae,Solanum lycopersicum,Plein champ,16,22,,,38,,4,,112,1,63,94,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Plant repiqué après dernières gelées (10-15 mai en climat tempéré). Tuteur ou ficelle requis, suppression des gourmands.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Tomate-printemps,Tomate,Solanaceae,Solanum lycopersicum,Plein champ,10,20,,,30,,4,,70,1,63,94,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Plant repiqué après dernières gelées (10-15 mai en climat tempéré). Tuteur ou ficelle requis, suppression des gourmands.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Tomate-printemps-hative,Tomate,Solanaceae,Solanum lycopersicum,Plein champ,8,18,,,28,,4,,70,1,63,94,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Plant repiqué après dernières gelées (10-15 mai en climat tempéré). Tuteur ou ficelle requis, suppression des gourmands.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Tomate-printemps-hative-serre,Tomate,Solanaceae,Solanum lycopersicum,Sous abri,7,11,,,27,,4,28,140,1,63,94,,Sous abri,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Plant repiqué après dernières gelées (10-15 mai en climat tempéré). Tuteur ou ficelle requis, suppression des gourmands.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Topinambour,Topinambour,Asteraceae,,Plein champ,12,16,,,24,,4,,84,1,50,75,50,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Plantation des tubercules à 10 cm de profondeur, en lignes espacées de 70 cm. Buttage à 30 cm de hauteur.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Tournesol,Tournesol,Asteraceae,Helianthus annuus,,19,,,,31,,4,,84,2,40,60,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis direct en lignes espacées 70-80 cm. Plante exigeante en eau et azote — bon précédent pour Brassicacées.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Vanille — austral,Vanille,Orchidaceae,Vanilla planifolia,,,40,,,26,,8,,1095,,150,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Rendement en gousses vertes par liane. Bouturage au retour des pluies (oct.-nov.), floraison au printemps austral (sept.-nov.) à polliniser à la main, gousses vertes récoltées ~8-9 mois plus tard en hiver austral (juin-a"
Echalote,Échalote,Alliaceae,Allium cepa Aggregatum,,12,16,,,24,,4,,84,2,22,33,50,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Caïeux en automne (pour la sortie d'été) ou au printemps (récolte décalée). Sol drainé, éviter excès d'eau.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Épinard-automne,Épinard,Amaranthaceae,Spinacia oleracea,Plein champ,33,,,,41,,4,,56,3,15,22,30,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Épinard-printemps,Épinard,Amaranthaceae,Spinacia oleracea,Plein champ,7,,,,15,,4,,56,3,15,22,30,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Épinard-été,Épinard,Amaranthaceae,Spinacia oleracea,Plein champ,14,,,,22,,4,,56,3,15,22,30,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Épinard pays (amarante) — equatorial,Épinard pays (amarante),Amaranthaceae,Amaranthus dubius,,4,4,,,10,,6,,40,,25,,,,,equatorial,,a_revoir,t,,,,,,,"","Semis échelonnés possibles toute l'année ; en pleine saison des pluies, préférer des planches surélevées pour éviter la fonte des semis. Croissance très rapide sous la chaleur équatoriale. Surveiller les chenilles défoli"
